Token Name,Contract Address,Creator ,Number of Tokens Minted,token_bougth_start,quantity_adjusted_start,average_adjusted_start,tokens_start,tokens_bought_2_weeks,quantity_adjusted_2,average_adjusted_2,tokens_bought_month,quantity_adjusted_month,average_adjusted_month,Access & Utility,Interactive Experience ,Notes,Website,Art,Discord Channel
Gutter Cat Gang ,0xEdB61f74B0d09B2558F1eeb79B247c1F363Ae452,0xffa4daeaaefedb15c7fe8b4b8725708df9600d11,3000,6/8/21,718068.3903,551.9357343,1301,3883,3992328.156,1253.508084,5643,8193185.562,1958.284327,1,1,"1.)  NFT doubles as your membership token to the Gutter Cat Gang; each Gutter NFT unlocks varying and unique levels of community led access and perks 2.) Access to metaverse with drops of real estate, etc. ",https://guttercatgang.com/,0,1
Kaiju Kingz ,0x0c2E57EFddbA8c768147D1fdF9176a0A6EBd5d83,0x34f03c5a7af9ac02d28fa5d4dfcfe6475bc340df,3333,10/15/21,23401141.46,17081.12516,1370,2674,48735627.44,19952.02508,3066,54018930.38,16736.81039,1,1,"1.) will provide scholarships and funding for living expenses,equipment, and classes for developers and creatives 2.) generation of Baby Kaijuz & $RWASTE ",https://kaijukingz.io/#/,0,1
Starchain Official ,0x9e731cBa0deecE52FD7c3B439E2ec4b950E385D6,0x551E0713059896774721025e9953FCBE073AB4cE,10000,8/10/21,133688.1256,245.299313,545,947,165816.0143,71.43827372,1168,233491.5621,128.7431555,0,0,Art,,1,1
Bit Aliens,0x495f947276749Ce646f68AC8c248420045cb7b5e,0x5b3256965e7C3cF26E11FCAf296DfC8807C01073,2500,3/9/21,0,0,1,159,3242.570908,51.66026551,495,37485.30061,90.06077729,0,0,Art,,1,1
MyLittleUzis,0x854DF744630C51C782db5C992c621183D9c654cc,0x2e5f8b8fE24fa1e0b18AAc409AD620CB650BFd50,5000,10/1/21,6311.799836,87.66388661,72,1313,253303.9452,139.1639858,1329,257652.1307,177.2615042,0,0,Art,,1,0
Bones & Bananas,0xFBB6684EbD6093989740e8ef3e7D57cf3813E5a4,0x02d5115dba6b9309e0e889df7e7dc875dc5b451c,10000,7/15/21,191.5237681,191.5237681,1,1112,84002.29062,73.68689015,1423,129008.0086,111.7416045,1,0,1.) Proceeds go toward buying BAYC. Potential to win 2.) No game ,https://www.bonesandbananas.com/,0,1
PixelKnights ,0x495f947276749Ce646f68AC8c248420045cb7b5e,0x9374933862007acce42ffaf8bd23c2c5252ec28e,1000,3/11/21,675.6459,18.2607,37,263,6472.782157,30.65674704,296,8666.818113,47.86614588,0,0,1.) No access 2.) No interactive ,http://www.pixelknights.co/,1,1
AXON WORLDS,0x495f947276749Ce646f68AC8c248420045cb7b5e,0x8a48debdd94c9b19e74fdad114ec0fe568fd0500,N/A,7/20/21,2232.546861,279.0683577,8,34,15260.65953,498.1983127,72,90285.79755,1006.178876,0,0,Art,,1,1
Meeler's Creation,0x495f947276749Ce646f68AC8c248420045cb7b5e,0x9b4b51c7e560ff625997c7cae4f9fe4ff94b5f12,N/A,7/6/21,348.4543572,348.4543572,1,124,38451.48973,361.9631788,210,124605.2977,613.4859051,0,0,Art,,1,1
ChibiLabs,0x5AEb2a703323F69b20F397BCB7B38610EC37237b,0x8a04f9c3d4de6a118670fa9c5dd078f1ecf4e61b,3500,9/9/21,819163.7483,909.1717518,901,3905,3883404.651,930.8145456,4382,4263178.628,854.9787213,1,0,1.) Drop tokens 2.) No interactive ,https://chibilabs.io/,0,1
Kepler Multivisa ,0xa118C27Ff48cDdeB6225D20cBCAD1A888F53bD28,0xa118C27Ff48cDdeB6225D20cBCAD1A888F53bD28,7777,8/23/21,12219.87862,814.6585749,15,391,240532.0282,541.1585348,434,256186.502,438.7562673,1,0,1.) NFT drops 2.) No interactive ,https://keplersociety.com/,0,1
Riot Racers Cars ,0x82BBf7bE0eB9A6024b7A641bA179e00812bdAE53,0x877eaea451e20c2845296efb1de3662c5de64134,3300,6/2/21,59078.66438,562.6539464,105,165,118713.1905,1025.597571,853,460005.5633,759.2887208,0,1,1.) No access 2.) Interactive game ,https://riotracers.com/,0,1
Transported,0x495f947276749Ce646f68AC8c248420045cb7b5e,0x5b3256965e7C3cF26E11FCAf296DfC8807C01073,300,9/4/21,226803.1096,477.4802308,475,574,309419.2107,377.1077157,575,309419.5953,353.5625232,0,0,Art,,1,0
Klay Ape Club,0x86b0f3dfddadb2e57b00a6d740f1a464f79179bf,0x40eb7b8dd9327e3b849b0c57da05e2ed55a0d8bb,10000,10/30/21,20272.24745,171.7987072,118,1354,259235.1421,181.9597901,2126,328027.216,145.6118374,1,0,1.) Access 2.) No interactive game ,https://klayape.club/,0,1
Legends of the Metaverse,0x073C5a92D3cdf40DEc045BA6e1e11167DdA7c007,0x4e4da5abb3c4e27db723db8f543c2f6794c6a212,N/A,10/8/21,1780.502645,1780.502645,1,147,150446.3585,1920.329163,258,231691.2496,1399.19773,0,1,1.) No access 2.) Interactive game ,https://www.legendsofthemetaverse.com/,0,1
Panda Golf Squad,0x646c83Dd4DAd66e2FEdc87eA4fc9b03a3dF49EBE,0xabdf8f026cb685D691e78B12f606EB62061dBFA6,10000,6/26/21,7251.773587,102.1376562,71,946,150305.2024,137.5957815,1029,154624.5871,91.50962871,0,0,Art,,1,1
Metaverse Punks,0x495f947276749Ce646f68AC8c248420045cb7b5e,0x5b3256965e7C3cF26E11FCAf296DfC8807C01073,333,8/3/21,752.202,752.202,1,141,172978.9974,2045.124532,162,227587.8945,2279.488769,0,0,Art,,1,1
DeFiLabs,0xff9315c2c4c0208Edb5152F4c4eBec75e74010c5,0xa4633cB5cEebba4Bc3Ac3BAEAb8b19381896fe88,374,12/21/20,608.2,608.2,1,23,40701.87226,1459.650524,44,67914.41991,1428.403904,0,0,Art,,1,0
Ethemerals,0xeE8C0131aa6B66A2CE3cad6D2A039c1473a79a6d,0x53Cb67568F2a266847b4F79c0acD922d989146eE,1001,10/1/21,134600.0996,572.7663811,235,420,254912.9143,571.1423194,458,266192.6147,462.8969629,0,1,1.) No access 2.) Interactive game ,,0,1
Julia Set Collection,0x53Cb67568F2a266847b4F79c0acD922d989146eE,0xC6a79CEbdCfBD3fFA280662417Ea20269795f634,4200,9/17/21,42019.2307,1024.859285,41,366,210621.1931,440.3603196,444,240308.1148,437.2079993,0,0,Art,,1,1
Pettametti,0x52474FBF6b678a280d0C69F2314d6d95548b3DAF,0x483a124f6717AD67440AF11A77dEc25F1a3d1259,300,10/5/21,703.52,703.52,1,58,263023.395,2966.098627,68,288955.9779,2792.594365,1,0,Art (Access to future mints) ,,1,1
Cuddles Collection,0x495f947276749Ce646f68AC8c248420045cb7b5e,0x5b3256965e7C3cF26E11FCAf296DfC8807C01073,154,7/17/21,5126.98856,205.0795424,25,128,44119.13477,392.7470706,292,168756.4612,442.4782402,0,0,Art,,1,1
KBOT_Factory ,0xDa7d7F75c9aB826329888F056026d6ba8525d5Bb,0xf58ded9e1caf8690f957a8c1ae6586bfe6fd4510,4000,9/30/21,107693.1855,198.6959142,542,1362,242941.6118,107.4523821,1463,249526.9079,79.71166258,0,0,Art,,1,1
Millionaire Raccoons League,0x495f947276749Ce646f68AC8c248420045cb7b5e,0x5b3256965e7C3cF26E11FCAf296DfC8807C01073,500,8/10/21,19354.50851,251.3572534,77,101,28361.52846,381.1998185,584,192460.8441,584.2311526,1,0,1.) Access to new tokens 2.) No game,,0,1
Crazy Dragon Corps ,0x17EB3b4954D36d5C14eE9990B479d063286153F5,0x7775ded3f9a708829d8e9016fcb7c26895095cdf,3333,9/4/21,7657.526568,3828.763284,2,76,172218.3021,1712.190995,145,221260.3225,1106.853594,0,1,1.) No access 2.) Evolution ,,0,1
DeListed Tiny Punks,0x495f947276749Ce646f68AC8c248420045cb7b5e,0x4367c0cb52d36f5919705dcba99326b645b669b3,1000,8/17/21,1807.218,54.76418182,33,927,224671.017,226.4248448,983,236580.1212,247.5077813,0,0,Art,,1,1
The Forgotten Cult,0x625D9e54d4346BC8c1b377e8bfCaBb64Bbb8dC89,0x5058B704C352980ece01720cE7A5a1b49469A460,3333,11/21/21,144810.4858,137.652553,1052,1788,316402.6859,107.4494071,1788,316402.6859,107.4494071,0,0,Art,,1,1
UltraPunks,0x495f947276749Ce646f68AC8c248420045cb7b5e,0x5b3256965e7C3cF26E11FCAf296DfC8807C01073,10000,3/11/21,2645.97543,264.597543,10,182,70433.47628,349.7020282,217,86912.18202,331.2556811,0,0,Art,,1,1
Drooling Bear,0x495f947276749Ce646f68AC8c248420045cb7b5e,0x5b3256965e7C3cF26E11FCAf296DfC8807C01073,555,9/18/21,0,0,1,347,105730.495,321.6384994,605,204642.5309,446.3450955,0,0,Art,,1,1
Paradise Trippies ,0x4cA4d3B5B01207FfCe9beA2Db9857d4804Aa89F3,0x269Db79b1946fE112994ff628ee2358314b9c4ea,10000,11/29/21,15918.7815,612.2608268,26,26,15918.7815,612.2608268,26,15918.7815,612.2608268,1,0,1.) Access 2.) No interactive game ,,0,1
Babe Ape Boat Club,0x495f947276749Ce646f68AC8c248420045cb7b5e,0x5b3256965e7C3cF26E11FCAf296DfC8807C01073,333,5/18/21,202.7284516,101.3642258,2,34,2726.369135,79.71311964,82,7361.130408,85.10403336,1,0,1.) Access 2.) No interactive game ,,0,1
Doomed Souls Army,0x974a46cFdf5018258e48f4506Ce062691cDA2936,0x084A9549ef31313b278F7211e28C9ad629eb11a1,2501,9/23/21,32034.45054,197.7435219,162,934,226602.4699,176.5684487,969,229900.7847,129.0789719,1,0,1.) Access 2.) No interactive game ,,0,1
NFT RedZone,0x084A9549ef31313b278F7211e28C9ad629eb11a1,0x828A0DeDc21e0cfA61809c72512a260D8afF173a,7216,9/22/21,2185.020616,364.1701026,6,382,149201.6294,427.172428,490,180802.283,367.5149709,1,0,1.) Access 2.) No interactive game ,,0,1
hypnos,0x495f947276749Ce646f68AC8c248420045cb7b5e,0x5b3256965e7C3cF26E11FCAf296DfC8807C01073,201,7/19/21,399.8382736,36.34893396,11,207,83664.30862,947.206416,305,177572.6317,1214.458363,0,0,1.) No access 2.) No game,,1,1
Vhils,0xead774ea11cbf097776b471a1dab1bf1c06d3969,0xead774ea11cbf097776b471a1dab1bf1c06d3969,N/A,2/27/21,20962.39119,6987.46373,3,21,129372.1032,7908.942294,21,129372.1032,7908.942294,0,0,Art,,1,0
Crypteriors: Local ,0x219351f2BaEc497A42416Ba170a9B09696bf9e2e,0x4e4070e996d3DdEE621759c6d433A20469A889E2,4444,9/18/21,134.0234105,134.0234105,1,1266,242525.0741,72.98240789,1287,242932.3244,62.42769526,0,0,Art,,1,1
Clout Punks,0x495f947276749Ce646f68AC8c248420045cb7b5e,0xacb3a1d7391da281b3d6f7565f81b7b4865efcb8,500,4/16/21,485.33,121.3325,4,28,3735.306343,143.4900845,119,19569.67342,176.4450171,0,0,Art,,1,0
alien codex ,0x495f947276749Ce646f68AC8c248420045cb7b5e,0x5b3256965e7C3cF26E11FCAf296DfC8807C01073,200,8/30/21,44011.08413,354.9280978,124,291,135907.3007,600.9809171,348,249884.3536,1095.508699,0,0,Art,,1,0
Diamond Crypto Dunks,0xf0b23D4738ed2C7d89a13d3391Ae4e9a8ccF0E44,0xf019922670dfe759ccca86829e3f5923ace064b4,4200,10/27/21,2543.68512,847.89504,3,393,217621.3576,564.8709672,593,298976.9057,458.2061528,1,0,1.) Merch drop 2.) No interactive game ,,0,0
Louvre Punks,0x495f947276749Ce646f68AC8c248420045cb7b5e,0x5b3256965e7C3cF26E11FCAf296DfC8807C01073,200,3/31/21,191.791,191.791,1,140,71804.71629,537.4894786,203,120386.4218,660.4515085,0,0,Art,,1,1
OneDayPunks,0x5537d90A4A2DC9d9b37BAb49B490cF67D4C54E91,0xed9198181bbd4e09ff320fa11ae062e140be0c4e,10000,9/4/21,116477.1776,613.0377766,190,413,177366.3598,211.0350406,848,253884.3239,198.8221896,1,1,1.) Token drop 2.) NFT augmentation,,0,1
Lady Killaz ,0xE4D0E33021476Ca05aB22C8BF992D3b013752B80,0xef03562Aba60Bb37CFe23E036afba332e0DE4695,10000,10/1/21,18003.67181,281.307372,64,872,233912.2928,207.1166089,1016,257269.1018,159.7441831,0,1,1.) No access 2.) Interactive game ,,0,1
JunkYardBones,0x2C173A97ED9beC4b292c7786811510268fd5e170,0x564AEd71080D74b4550baD82DC0BaA12737DCB64,897,8/4/21,1362.657508,1362.657508,1,607,216944.8355,618.2341112,647,220452.4924,343.8485347,0,0,Art,,1,0
NFFT,0xa48b440fC00Ac8cd53E73CC39F5F7DA931fd064f,0xcc54d9ce5E84298f6Bc8E5daeB8AfE318d5E913F,9100,3/27/21,1576.74344,394.1858599,4,244,68101.40939,294.3230413,349,153388.125,584.3849057,0,1,1.) No access 2.) NFT Augmentation,,1,1
Einform,0xD1581120884C98dfAa670a98931d49c055313173,0x73a11E460D3Cc2882F8B2755E735e9f0EDd6523A,999,8/31/21,201869.7492,503.4158334,401,576,258498.3805,174.9889888,588,258943.3613,120.8803545,0,0,Art,,1,0
The Boneys,0x495f947276749Ce646f68AC8c248420045cb7b5e,0x5b3256965e7C3cF26E11FCAf296DfC8807C01073,1000,10/10/21,2.73481857,0.341852321,8,508,200140.3996,454.7498529,698,264944.3677,467.1651712,0,0,Art,,1,1
vApez,0x5b85dB25439b00e3e4F11d6F25a0ABd3Df871111,0x6f9262e629119F9Fd6d6d9B6589086F44BA470Df,3000,11/25/21,255384.4096,258.2248833,989,1401,318996.584,131.0440334,1401,318996.584,131.0440334,1,0,Art (Access to future mints) ,,1,0
Footium Football Club V2,0x659cf1306eDBA213D1fb8F9352B4593A82B05d0c,0xd563af2f1a2F1FAE42f81Ba01365a8227b6845B8,N/A,11/19/21,26675.94538,272.2035243,98,441,125772.315,304.6021575,441,125772.315,304.6021575,0,0,Collection,,0,0
VenusScramble,0x2E472C8C7f9659F5b61D83f547c90eA8b8247dF0,0x47C38dDB687c162f30334E41Bd542Ed872a37475,2100,2/29/20,2403.934992,1201.967496,2,20,5771.135241,218.9700251,45,8618.556307,169.7887945,0,1,1.) No access 2.) Interactive game ,,0,0
Chibi Fighters 1.0,0x71C118B00759B0851785642541Ceb0F4CEea0BD5,0x71C118B00759B0851785642541Ceb0F4CEea0BD5,4100,4/30/18,334.7817836,334.7817836,1,40,935.749121,35.2158102,97,1855.556504,25.32347556,0,0,Collection,,0,0
Pigskin Apes,0x58D871d9a1b8551b7A852E0B2641FFf7D3a8D606,0x4cF49B4F82aE3aED2499b4F57A8208bb001A6EDC,9600,9/9/21,2872.499858,359.0624823,8,582,120448.8852,234.3247162,819,165141.1528,228.3762397,1,1,1.) Access 2.) Interactive game,,0,1
89 Seconds Atomized ,0x0f130a170127Aa4E5776Ab05305ff614Ff352253,0xC5a3d99e05c39A18D6342B5F27c08c64a486dF00,2304,10/17/20,3685.0092,737.00184,5,32,39145.62074,1162.082807,61,207160.5783,3342.456185,0,1,1.) No access 2.) Interactive assembly,,1,0